Asset1,Asset2,Asset3,Date
-0.04460527612429322,-0.024237069309108687,0.012884616641893025,2023-04-12
-0.015088044281143638,-0.04951728815705263,-0.08616043122503905,2023-04-13
-0.005818585043320431,-0.02175167400543753,0.08364930228067716,2023-04-14
-0.05084900384331966,0.0736954074180507,-0.021325566679545858,2023-04-15
-0.07596236082896508,0.005018135642781939,-0.018177830790849555,2023-04-16
-0.10377048284913107,0.05667409630773378,0.0010657588866667,2023-04-17
0.038608762317501766,-0.013266225916105996,0.10012570067192719,2023-04-18
-0.04530230578605775,-0.029042114847351152,0.07025349764220296,2023-04-19
-0.04733968303939436,-0.02028987659343498,-0.04763173785764211,2023-04-20
0.015480867915372728,-0.045616760824755055,0.03372089781882197,2023-04-21
-0.03888618507879467,0.022689720952748266,-0.03604105309264058,2023-04-22
-0.06276825473252962,0.0393576016108317,0.0951918053871595,2023-04-23
-0.051171459543745086,0.04060473674512204,0.05822187055810098,2023-04-24
0.011535318692752077,-0.015485439050607659,0.0002917515705018833,2023-04-25
-0.0440058165164303,-0.07480561967189113,0.044364817401342925,2023-04-26
0.002748006699083919,-0.040834560501983364,-0.0278265546964732,2023-04-27
0.007588957825753501,0.06292344852753418,-0.0844620151330784,2023-04-28
0.03047690241025521,0.05542680255623337,0.008224506023435475,2023-04-29
-0.07163541991987724,-0.16277320954506608,0.13849280795939406,2023-04-30
0.0031755688243955893,0.006649577404408769,0.032925221465357125,2023-05-01
