Price1,Price2,Price3,Date
90.17218653575624,109.66912481318316,86.17357062643717,2023-04-12
89.15228636944578,108.81551750378544,85.41360369493493,2023-04-13
89.02373608153054,108.59173106586441,85.47552658618869,2023-04-14
89.5629841729518,109.27731882897345,85.97506478202031,2023-04-15
89.64733817640771,109.29157322880904,85.87214916644912,2023-04-16
89.51553495638453,108.9567024917967,,2023-04-17
90.00694504527497,109.55022175871757,85.90426944323465,2023-04-18
89.10366470444329,108.8152304969167,85.47505995975298,2023-04-19
89.6265115264994,109.27883729681261,85.98732000384075,2023-04-20
89.91070143931417,109.47556455970086,85.9691010235726,2023-04-21
,,85.44448899333932,2023-04-22
89.78297073983705,109.35276540148922,85.95845406726131,2023-04-23
89.19442705178759,108.61876157661766,85.42205331853111,2023-04-24
88.82453993615948,108.43618147609627,85.29124049301603,2023-04-25
90.25849150811929,109.18515498097365,85.3514341948226,2023-04-26
89.54244226248673,108.9131635121644,85.33961258856122,2023-04-27
89.7274603996192,108.8765130539873,85.34564328056177,2023-04-28
89.87769458648364,109.32435317537804,85.7248764834939,2023-04-29
,109.7688930953219,86.3146282854434,2023-04-30
88.96901004751204,,,2023-05-01
